X,Y,Name,description,OBJECTID,Id,Nombre,No_Res_Vi,Area_Res,Región,Categoría,Cos_Adulto,Cos_Ninos,Alojamie,Camping,SHAPE_Leng,ShapeSTArea,ShapeSTLength
-78.1968352997636,3.01402049265691,,,45,51,GORGONA,RESOLUCION 1265 DE 25/10/1995,61687.5,Pacífico,Parque Nacional,17500,10500,No,No,0.89385677,606678774.7146,99582.1964172844
-70.3889399920214,-0.61505219427984,,,46,53,YAIGOJE  APAPORIS,RESOLUCIÓN 2079 DE 27/10/2009,1056023,Amazonía,Parque Nacional,,,No,No,8.32367581,10630143700.7196,926622.962413023
-75.7804538166708,3.67641669721247,,,47,54,LAS HERMOSAS - GLORIA VALENCIA DE CASTAÑO,RESOLUCION 158 DE 6/06/1977,125000,Andes Occidentales,Parque Nacional,,,No,No,3.30602344,1262387961.71045,368414.102040164
-73.4859541605139,5.66980483780778,,,48,55,IGUAQUE,RESOLUCION 0173 DE 01/06/1977,6750,Andes Nororientales,Santuario de Fauna y Flora,15000,8000,No,No,0.82425096,70364614.7836914,91995.1877780619
-74.0400898745562,11.3156250499111,,,49,1,TAYRONA,RESOLUCION 0021 DE 23/04/1975,15000,Caribe,Parque Nacional,15000,8000,No,No,0.86133584,200853033.645508,96491.0493576496
-76.8660851626186,3.39245152026937,,,50,0,LOS FARALLONES DE CALI,RESOLUCION 092  DE 21/041978,150000,Pacífico,Parque Nacional,,,No,No,4.69759999,1997699486.19043,523390.556139135
-76.0947001634453,5.09139532297645,,,51,4,TATAMA,RESOLUCIÓN  190 DE  19/10/1987,51900,Andes Occidentales,Parque Nacional,,,No,No,2.10489,441369934.590332,234782.644339993
-76.7528196277024,1.5555715469856,,,52,0,COMPLEJO VOLCANICO DOÑA JUANA CASCABEL,RESOLUCION 0485 DE 21/03/2007,66004.6963,Andes Occidentales,Parque Nacional,,,No,No,1.63138108,663489385.792725,181632.147704176
-75.0710406124836,5.48675741561678,,,53,0,SELVA DE FLORENCIA,RESOLUCION 0329 DE 10/03/2005,10019.8,Andes Occidentales,Parque Nacional,,,No,No,0.65589957,101724124.764648,73181.180778498
-75.105788650477,9.94270128850043,,,54,0,LOS COLORADOS,RESOLUCION 0167 DE 06/06/1977,1000,Caribe,Santuario de Fauna y Flora,5000,5000,No,No,0.1509297,10866973.9814453,16933.2847571045
-76.1496312724978,9.9231760962783,,,55,0,CORALES DE PROFUNDIDAD,RESOLUCION 0339 DE 12/04/2013,142192.15,Caribe,Parque Nacional,,,No,No,1.38806741,1474358856.27734,155884.544599999
-75.7776663759726,9.98205569350051,,,56,0,LOS CORALES DEL ROSARIO Y SAN BERNARDO,RESOLUCION 1425 DE 20/12/1996,120000,Caribe,Parque Nacional,,,No,No,2.77816691,1280105783.78027,311993.484199694
-77.0342226870708,2.6726552331127,,,57,21,MUNCHIQUE,RESOLUCION 159 DE 6/061977,44000,Pacífico,Parque Nacional,,,No,No,1.53215823,519456086.113525,170661.368733412
-77.1563632387992,8.52119572732765,,,58,0,ACANDI PLAYON Y PLAYONA,RESOLUCION 1847 DEL 19/12/2013,26232.71,Caribe,Santuario de Fauna,,,No,No,0.60312716,269942499.567383,67476.183958128
